Signal Length                                        Signal                                        Signal Dec                                        ACF                                        Calculation time (mks)
       5               0000000000000000000000000000000000000000000000000000000000010111               23                                             1                                                  77700
       6               0000000000000000000000000000000000000000000000000000000000110111               55                                             2                                                  42
       7               0000000000000000000000000000000000000000000000000000000001110010               114                                             1                                                  38
       8               0000000000000000000000000000000000000000000000000000000011001011               203                                             2                                                  37
       9               0000000000000000000000000000000000000000000000000000000111010011               467                                             2                                                  40
      10               0000000000000000000000000000000000000000000000000000001111001010               970                                             2                                                  47
      11               0000000000000000000000000000000000000000000000000000011100010010               1810                                             1                                                  45
      12               0000000000000000000000000000000000000000000000000000111110101100               4012                                             2                                                  54
      13               0000000000000000000000000000000000000000000000000001010110011111               5535                                             1                                                  63
      14               0000000000000000000000000000000000000000000000000010101111100110               11238                                             2                                                  102
      15               0000000000000000000000000000000000000000000000000111101110001011               31627                                             2                                                  186
      16               0000000000000000000000000000000000000000000000001011101101000011               47939                                             2                                                  465
      17               0000000000000000000000000000000000000000000000010111011011110000               95984                                             2                                                  888
      18               0000000000000000000000000000000000000000000000111110100101110011               256371                                             2                                                  1801
      19               0000000000000000000000000000000000000000000001011011101110001111               375695                                             2                                                  3546
      20               0000000000000000000000000000000000000000000011000000011001010100               788052                                             2                                                  7255
      21               0000000000000000000000000000000000000000000111110100010110001100               2049420                                             2                                                  14277
      22               0000000000000000000000000000000000000000001111110110010100111000               4154680                                             3                                                  29466
      23               0000000000000000000000000000000000000000011111011100001010110010               8241842                                             3                                                  57578
      24               0000000000000000000000000000000000000000111111010101100110000111               16603527                                             3                                                  114612
      25               0000000000000000000000000000000000000001011001001010111111100011               23375843                                             2                                                  204651
      26               0000000000000000000000000000000000000011111110100101110110011100               66739612                                             3                                                  372568
      27               0000000000000000000000000000000000000111111100110001011101001011               133371723                                             3                                                  721245
      28               0000000000000000000000000000000000001011001001010111111100011100               187006748                                             2                                                  1.49172e+06
      29               0000000000000000000000000000000000011111101100011011010011101010               531739882                                             3                                                  2.95295e+06
      30               0000000000000000000000000000000000111111010110101000111001101100               1062899308                                             3                                                  6.13721e+06
      31               0000000000000000000000000000000001111110101110010001100101100001               2126059873                                             3                                                  1.2145e+07
      32               0000000000000000000000000000000011111011110100001011100110100110               4224760230                                             3                                                  3.14903e+07
      33               0000000000000000000000000000000111111011011001010111001100011110               8512697118                                             3                                                  8.54967e+07
      34               0000000000000000000000000000001111111011000011110001101010100110               17096972966                                             3                                                  1.71062e+08
      35               0000000000000000000000000000011111110100001101000110001010011001               34161844889                                             3                                                  3.40751e+08
      36               0000000000000000000000000000111110110100111100010101110011001000               67460226248                                             3                                                  6.81486e+08
      37               0000000000000000000000000001111110010011011010110101011100011000               135617271576                                             3                                                  1.36192e+09
      38               0000000000000000000000000010101000100100001001001111100100001110               180995029262                                             3                                                  2.71455e+09
      39               0000000000000000000000000111101101110010011111010001010011100011               530201777379                                             3                                                  5.43187e+09
      40               0000000000000000000000001110001111010100101101101100100010001000               978526324872                                             3                                                  1.10931e+10
      41               0000000000000000000000011110001100111011111100010101001001001101               2075474874957                                             3                                                  2.23926e+10
      42               0000000000000000000000111011101110111000010001111000101101001011               4104785464139                                             3                                                  4.47006e+10
      43               0000000000000000000001110100101101010111111010001001100011000011               8020178802883                                             3                                                  8.98576e+10
      44               0000000000000000000011111001101000101110000100011100100101001000               17154872297800                                             3                                                  1.79032e+11
      45               0000000000000000000101110101110011111011010000010110001101110010               25688119796594                                             3                                                  3.60616e+11
      46               0000000000000000001100000000001100011101000101100110101001011010               52789931043418                                             3                                                  7.18981e+11
